Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Abrantes,589.7,103.8,121.1,117.5,108.3,3481.5006715916725,2164.1,1
2009,Aguiar da Beira,33.7,911.898627596439,996.7853123977756,12.5,608.1002453557659,3481.5006715916725,168.1,2
2009,Alandroal,53.6,33.3,75.0,22.2,608.1002453557659,3481.5006715916725,240.8,1
2009,Albergaria-a-Velha,267.3,90.9,85.7,72.1,111.1,3481.5006715916725,1153.9,1
2009,Albufeira,649.5,48.1,56.5,30.5,55.0,3481.5006715916725,2292.0,1
2009,Alcanena,115.8,91.7,190.0,100.0,166.7,3481.5006715916725,465.1,1
2009,Alcobaça,552.9,67.2,234.6,73.8,76.7,3481.5006715916725,2435.1,1
2009,Alcochete,146.8,31.6,69.2,55.6,100.0,3481.5006715916725,578.6,1
2009,Alcoutim,8.8,911.898627596439,996.7853123977756,6.3,608.1002453557659,3481.5006715916725,35.6,2
2009,Alcácer do Sal,110.6,114.3,77.8,41.7,42.9,3481.5006715916725,430.1,1
2009,Alenquer,522.4,37.0,93.1,54.9,56.3,3481.5006715916725,1900.2,1
2009,Alfândega da Fé,39.6,400.0,200.0,37.5,50.0,3481.5006715916725,245.3,1
2009,Alijó,148.6,525.0,133.3,34.2,100.0,3481.5006715916725,624.8,1
2009,Aljezur,34.9,100.0,996.7853123977756,15.4,608.1002453557659,3481.5006715916725,130.5,1
2009,Aljustrel,93.7,125.0,133.3,41.7,83.3,3481.5006715916725,382.5,1
2009,Almada,1685.3,44.3,134.1,211.2,51.1,3481.5006715916725,6803.9,0
2009,Almeida,30.5,900.0,300.0,84.2,400.0,3481.5006715916725,158.3,1
2009,Almeirim,239.8,82.4,166.7,106.5,114.3,3481.5006715916725,1002.4,1
2009,Almodôvar,85.7,150.0,66.7,45.0,100.0,3481.5006715916725,482.9,1
2009,Alpiarça,60.8,75.0,66.7,42.9,200.0,3481.5006715916725,328.4,1
2009,Alter do Chão,39.8,100.0,166.7,35.3,200.0,3481.5006715916725,130.2,1
2009,Alvaiázere,58.8,33.3,100.0,85.7,608.1002453557659,3481.5006715916725,234.4,1
2009,Alvito,19.5,100.0,25.0,1160.0324398797595,100.0,3481.5006715916725,75.8,1
2009,Amarante,783.4,98.2,122.2,37.8,70.0,3481.5006715916725,3781.1,0
2009,Amares,240.1,133.3,200.0,33.3,266.7,3481.5006715916725,914.8,1
2009,Anadia,263.3,131.8,280.0,126.7,100.0,3481.5006715916725,1083.9,1
2009,Ansião,104.2,81.8,320.0,45.5,75.0,3481.5006715916725,530.4,1
2009,Arcos de Valdevez,182.2,173.3,228.6,69.7,60.0,3481.5006715916725,790.9,1
2009,Arganil,82.8,100.0,63.6,47.2,20.0,3481.5006715916725,382.3,1
2009,Armamar,59.8,166.7,114.3,1160.0324398797595,300.0,3481.5006715916725,264.9,1
2009,Arouca,153.1,48.6,52.9,22.5,140.0,3481.5006715916725,710.0,1
2009,Arraiolos,52.5,150.0,500.0,29.6,150.0,3481.5006715916725,237.0,1
