01. Ano;02. Nome Região (Portugal);03. Âmbito Geográfico;04. Filtro 1;07. Escala;09. Valor
2009;Abrantes;Município;25-34; pessoas;589.7
2009;Abrantes;Município;35-44; pessoas;439.2
2009;Abrantes;Município;45-54; pessoas;424.8
2009;Abrantes;Município;55 ou mais anos; pessoas;379.3
2009;Abrantes;Município;Menos de 25 anos; pessoas;331.1
2009;Abrantes;Município;Total; pessoas;2164.1
2009;Águeda;Município;25-34; pessoas;479.7
2009;Águeda;Município;35-44; pessoas;422.2
2009;Águeda;Município;45-54; pessoas;435.6
2009;Águeda;Município;55 ou mais anos; pessoas;428.1
2009;Águeda;Município;Menos de 25 anos; pessoas;318.8
2009;Águeda;Município;Total; pessoas;2084.3
2009;Aguiar da Beira;Município;25-34; pessoas;33.7
2009;Aguiar da Beira;Município;35-44; pessoas;35.8
2009;Aguiar da Beira;Município;45-54; pessoas;47.4
2009;Aguiar da Beira;Município;55 ou mais anos; pessoas;29.3
2009;Aguiar da Beira;Município;Menos de 25 anos; pessoas;22.0
2009;Aguiar da Beira;Município;Total; pessoas;168.1
2009;Alandroal;Município;25-34; pessoas;53.6
2009;Alandroal;Município;35-44; pessoas;45.3
2009;Alandroal;Município;45-54; pessoas;52.8
2009;Alandroal;Município;55 ou mais anos; pessoas;52.8
2009;Alandroal;Município;Menos de 25 anos; pessoas;36.5
2009;Alandroal;Município;Total; pessoas;240.8
2009;Albergaria-a-Velha;Município;25-34; pessoas;267.3
2009;Albergaria-a-Velha;Município;35-44; pessoas;255.8
2009;Albergaria-a-Velha;Município;45-54; pessoas;251.9
2009;Albergaria-a-Velha;Município;55 ou mais anos; pessoas;202.7
2009;Albergaria-a-Velha;Município;Menos de 25 anos; pessoas;176.3
2009;Albergaria-a-Velha;Município;Total; pessoas;1153.9
2009;Albufeira;Município;25-34; pessoas;649.5
2009;Albufeira;Município;35-44; pessoas;621.9
2009;Albufeira;Município;45-54; pessoas;493.3
2009;Albufeira;Município;55 ou mais anos; pessoas;246.0
2009;Albufeira;Município;Menos de 25 anos; pessoas;281.3
2009;Albufeira;Município;Total; pessoas;2292.0
2009;Alcácer do Sal;Município;25-34; pessoas;110.6
2009;Alcácer do Sal;Município;35-44; pessoas;72.3
2009;Alcácer do Sal;Município;45-54; pessoas;85.5
2009;Alcácer do Sal;Município;55 ou mais anos; pessoas;80.0
2009;Alcácer do Sal;Município;Menos de 25 anos; pessoas;81.8
2009;Alcácer do Sal;Município;Total; pessoas;430.1
2009;Alcanena;Município;25-34; pessoas;115.8
