Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Abrantes;589.7;439.2;424.8;379.3;103.8;121.1;117.5;108.3;;;2164.1
2009;Aguiar da Beira;33.7;35.8;47.4;29.3;;;12.5;;;;168.1
2009;Alandroal;53.6;45.3;52.8;52.8;33.3;75.0;22.2;;;;240.8
2009;Albergaria-a-Velha;267.3;255.8;251.9;202.7;90.9;85.7;72.1;111.1;;;1153.9
2009;Albufeira;649.5;621.9;493.3;246.0;48.1;56.5;30.5;55.0;;;2292.0
2009;Alcanena;115.8;110.1;83.3;78.5;91.7;190.0;100.0;166.7;;;465.1
2009;Alcobaça;552.9;508.0;539.1;525.4;67.2;234.6;73.8;76.7;;;2435.1
2009;Alcochete;146.8;136.3;131.5;90.8;31.6;69.2;55.6;100.0;;;578.6
2009;Alcoutim;8.8;7.9;7.6;7.4;;;6.3;;;;35.6
2009;Alcácer do Sal;110.6;72.3;85.5;80.0;114.3;77.8;41.7;42.9;;;430.1
2009;Alenquer;522.4;452.7;385.5;292.8;37.0;93.1;54.9;56.3;;;1900.2
2009;Alfândega da Fé;39.6;59.0;68.7;50.1;400.0;200.0;37.5;50.0;;;245.3
2009;Alijó;148.6;126.2;147.2;105.5;525.0;133.3;34.2;100.0;;;624.8
2009;Aljezur;34.9;32.9;23.0;18.9;100.0;;15.4;;;;130.5
2009;Aljustrel;93.7;93.0;83.7;60.0;125.0;133.3;41.7;83.3;;;382.5
2009;Almada;1685.3;1598.8;1519.8;1291.4;44.3;134.1;211.2;51.1;;;6803.9
2009;Almeida;30.5;35.9;37.0;38.3;900.0;300.0;84.2;400.0;;;158.3
2009;Almeirim;239.8;195.3;195.3;272.8;82.4;166.7;106.5;114.3;;;1002.4
2009;Almodôvar;85.7;76.9;102.8;149.8;150.0;66.7;45.0;100.0;;;482.9
2009;Alpiarça;60.8;56.8;64.8;112.4;75.0;66.7;42.9;200.0;;;328.4
2009;Alter do Chão;39.8;28.8;18.0;17.9;100.0;166.7;35.3;200.0;;;130.2
2009;Alvaiázere;58.8;46.0;46.6;41.3;33.3;100.0;85.7;;;;234.4
2009;Alvito;19.5;13.8;13.2;16.1;100.0;25.0;;100.0;;;75.8
2009;Amadora;2017.1;1931.8;1904.2;1807.8;38.7;161.5;167.6;51.4;;;8530.0
2009;Amarante;783.4;983.1;834.6;597.5;98.2;122.2;37.8;70.0;;;3781.1
2009;Amares;240.1;215.3;195.1;141.3;133.3;200.0;33.3;266.7;;;914.8
2009;Anadia;263.3;208.1;231.8;222.1;131.8;280.0;126.7;100.0;;;1083.9
2009;Ansião;104.2;100.3;115.8;131.3;81.8;320.0;45.5;75.0;;;530.4
2009;Arcos de Valdevez;182.2;165.0;171.8;110.3;173.3;228.6;69.7;60.0;;;790.9
2009;Arganil;82.8;81.0;89.7;69.2;100.0;63.6;47.2;20.0;;;382.3
2009;Armamar;59.8;64.3;60.8;39.6;166.7;114.3;;300.0;;;264.9
2009;Arouca;153.1;146.4;159.5;108.0;48.6;52.9;22.5;140.0;;;710.0
2009;Arraiolos;52.5;52.2;42.6;47.6;150.0;500.0;29.6;150.0;;;237.0
2009;Arronches;27.5;20.3;17.8;14.8;33.3;400.0;10.0;100.0;;;101.6
2009;Arruda dos Vinhos;105.2;80.2;65.3;60.8;23.8;111.1;46.7;16.7;;;358.3
2009;Aveiro;1040.4;771.5;726.5;508.3;134.6;182.1;123.7;65.9;;;3651.3
2009;Avis;44.7;45.0;51.9;56.6;33.3;25.0;18.2;;;;232.3
2009;Azambuja;258.6;205.1;206.1;199.5;87.5;109.1;34.1;;;;980.5
2009;Baião;399.3;480.6;401.1;198.7;52.0;45.8;5.1;28.6;;;1759.2
2009;Barcelos;876.9;999.7;1273.7;1256.6;81.7;129.2;48.1;103.2;;;5026.9
2009;Barrancos;14.3;29.1;17.3;13.8;100.0;;16.7;;;;90.5
2009;Barreiro;1021.3;942.8;857.8;706.8;46.0;149.2;177.2;60.0;;;3986.7
2009;Batalha;124.4;79.7;113.1;112.1;123.1;125.0;37.8;250.0;;;494.9
2009;Beja;389.3;268.2;203.4;148.5;127.3;162.5;111.0;46.2;;;1220.8
2009;Belmonte;98.0;77.8;72.3;53.8;;100.0;137.5;200.0;;;356.1
2009;Benavente;325.1;339.8;257.4;205.6;65.4;50.0;44.2;116.7;;;1328.0
