Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2009,589.7,103.8,121.1,117.5,108.3,4006.4644790257103
2009,33.7,908.5050445103858,997.7471821756225,12.5,606.0225288159273,4006.4644790257103
2009,53.6,33.3,75.0,22.2,606.0225288159273,4006.4644790257103
2009,267.3,90.9,85.7,72.1,111.1,4006.4644790257103
2009,649.5,48.1,56.5,30.5,55.0,4006.4644790257103
2009,115.8,91.7,190.0,100.0,166.7,4006.4644790257103
2009,552.9,67.2,234.6,73.8,76.7,4006.4644790257103
2009,146.8,31.6,69.2,55.6,100.0,4006.4644790257103
2009,8.8,908.5050445103858,997.7471821756225,6.3,606.0225288159273,4006.4644790257103
2009,110.6,114.3,77.8,41.7,42.9,4006.4644790257103
2009,522.4,37.0,93.1,54.9,56.3,4006.4644790257103
2009,39.6,400.0,200.0,37.5,50.0,4006.4644790257103
2009,148.6,525.0,133.3,34.2,100.0,4006.4644790257103
2009,34.9,100.0,997.7471821756225,15.4,606.0225288159273,4006.4644790257103
2009,93.7,125.0,133.3,41.7,83.3,4006.4644790257103
2009,1685.3,44.3,134.1,211.2,51.1,4006.4644790257103
2009,30.5,900.0,300.0,84.2,400.0,4006.4644790257103
2009,239.8,82.4,166.7,106.5,114.3,4006.4644790257103
2009,85.7,150.0,66.7,45.0,100.0,4006.4644790257103
2009,60.8,75.0,66.7,42.9,200.0,4006.4644790257103
2009,39.8,100.0,166.7,35.3,200.0,4006.4644790257103
2009,58.8,33.3,100.0,85.7,606.0225288159273,4006.4644790257103
2009,19.5,100.0,25.0,1157.552021089631,100.0,4006.4644790257103
2009,2017.1,38.7,161.5,167.6,51.4,4006.4644790257103
2009,783.4,98.2,122.2,37.8,70.0,4006.4644790257103
2009,240.1,133.3,200.0,33.3,266.7,4006.4644790257103
2009,263.3,131.8,280.0,126.7,100.0,4006.4644790257103
2009,104.2,81.8,320.0,45.5,75.0,4006.4644790257103
2009,182.2,173.3,228.6,69.7,60.0,4006.4644790257103
2009,82.8,100.0,63.6,47.2,20.0,4006.4644790257103
2009,59.8,166.7,114.3,1157.552021089631,300.0,4006.4644790257103
2009,153.1,48.6,52.9,22.5,140.0,4006.4644790257103
2009,52.5,150.0,500.0,29.6,150.0,4006.4644790257103
2009,27.5,33.3,400.0,10.0,100.0,4006.4644790257103
2009,105.2,23.8,111.1,46.7,16.7,4006.4644790257103
2009,1040.4,134.6,182.1,123.7,65.9,4006.4644790257103
2009,44.7,33.3,25.0,18.2,606.0225288159273,4006.4644790257103
2009,258.6,87.5,109.1,34.1,606.0225288159273,4006.4644790257103
2009,399.3,52.0,45.8,5.1,28.6,4006.4644790257103
2009,876.9,81.7,129.2,48.1,103.2,4006.4644790257103
2009,14.3,100.0,997.7471821756225,16.7,606.0225288159273,4006.4644790257103
2009,1021.3,46.0,149.2,177.2,60.0,4006.4644790257103
2009,124.4,123.1,125.0,37.8,250.0,4006.4644790257103
2009,389.3,127.3,162.5,111.0,46.2,4006.4644790257103
2009,98.0,908.5050445103858,100.0,137.5,200.0,4006.4644790257103
2009,325.1,65.4,50.0,44.2,116.7,4006.4644790257103
2009,122.8,166.7,125.0,62.9,200.0,4006.4644790257103
2009,70.4,166.7,160.0,35.7,200.0,4006.4644790257103
2009,41.9,908.5050445103858,500.0,18.2,606.0225288159273,4006.4644790257103
2009,492.8,435.7,330.0,152.9,60.0,4006.4644790257103
2009,279.3,640.0,100.0,14.0,300.0,4006.4644790257103
2009,117.3,43.5,62.5,23.5,175.0,4006.4644790257103
2009,638.3,75.8,138.8,109.5,94.1,4006.4644790257103
2009,153.9,45.5,118.8,80.0,100.0,4006.4644790257103
2009,107.3,100.0,81.8,19.0,16.7,4006.4644790257103
2009,345.3,181.0,191.3,138.8,47.1,4006.4644790257103
2009,60.6,908.5050445103858,800.0,54.5,606.0225288159273,4006.4644790257103
2009,82.8,100.0,250.0,94.7,200.0,4006.4644790257103
2009,238.4,86.4,50.0,154.5,40.0,4006.4644790257103
